StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
M2026001,MS_Student_0001,6,ADV_MS,MS Advisory,ADV_MS.28,ADV,E3,T627,MS_Foster_3,R028,Room 28
M2026001,MS_Student_0001,6,ENG6,English 6,ENG6.6,P06,B1;E2;C4,T605,MS_Brooks,R055,Room 55
M2026001,MS_Student_0001,6,MATH6,Math 6,MATH6.10,P03,C1;A3;D4,T624,MS_Evans_5,R059,Room 59
M2026001,MS_Student_0001,6,PE6,PE 6,PE6.8,P02,A2;D3;B5,T682,MS_Stone_3,R107,Gymnasium 4
M2026001,MS_Student_0001,6,SCI6,Science 6,SCI6.9,P08,D1;B3;E5,T638,MS_Hayes_4,R074,Lab 74
M2026001,MS_Student_0001,6,SPAN6,Spanish 6,SPAN6.10,P07,B2;E4;C5,T669,MS_Ortiz_5,R001,Room 1
M2026001,MS_Student_0001,6,SS6,Social Studies 6,SS6.8,P05,E1;C3;A5,T652,MS_Lopez_3,R008,Room 8
M2026002,MS_Student_0002,6,ADV_MS,MS Advisory,ADV_MS.28,ADV,E3,T627,MS_Foster_3,R028,Room 28
M2026002,MS_Student_0002,6,ENG6,English 6,ENG6.10,P08,D1;B3;E5,T609,MS_Brooks_5,R061,Room 61
M2026002,MS_Student_0002,6,MATH6,Math 6,MATH6.10,P03,C1;A3;D4,T624,MS_Evans_5,R059,Room 59
M2026002,MS_Student_0002,6,PE6,PE 6,PE6.10,P01,A1;D2;B4,T684,MS_Stone_5,R098,Gymnasium
M2026002,MS_Student_0002,6,SCI6,Science 6,SCI6.10,P07,B2;E4;C5,T639,MS_Hayes_5,R072,Lab 72
M2026002,MS_Student_0002,6,SPAN6,Spanish 6,SPAN6.8,P02,A2;D3;B5,T667,MS_Ortiz_3,R022,Room 22
M2026002,MS_Student_0002,6,SS6,Social Studies 6,SS6.8,P05,E1;C3;A5,T652,MS_Lopez_3,R008,Room 8
M2026003,MS_Student_0003,6,ADV_MS,MS Advisory,ADV_MS.28,ADV,E3,T627,MS_Foster_3,R028,Room 28
M2026003,MS_Student_0003,6,ENG6,English 6,ENG6.6,P06,B1;E2;C4,T605,MS_Brooks,R055,Room 55
M2026003,MS_Student_0003,6,MATH6,Math 6,MATH6.9,P05,E1;C3;A5,T623,MS_Evans_4,R026,Room 26
M2026003,MS_Student_0003,6,PE6,PE 6,PE6.10,P01,A1;D2;B4,T684,MS_Stone_5,R098,Gymnasium
M2026003,MS_Student_0003,6,SCI6,Science 6,SCI6.9,P08,D1;B3;E5,T638,MS_Hayes_4,R074,Lab 74
M2026003,MS_Student_0003,6,SPAN6,Spanish 6,SPAN6.10,P07,B2;E4;C5,T669,MS_Ortiz_5,R001,Room 1
M2026003,MS_Student_0003,6,SS6,Social Studies 6,SS6.10,P03,C1;A3;D4,T654,MS_Lopez_5,R063,Room 63
M2026004,MS_Student_0004,6,ADV_MS,MS Advisory,ADV_MS.27,ADV,E3,T626,MS_Foster_2,R027,Room 27
M2026004,MS_Student_0004,6,ENG6,English 6,ENG6.10,P08,D1;B3;E5,T609,MS_Brooks_5,R061,Room 61
M2026004,MS_Student_0004,6,MATH6,Math 6,MATH6.10,P03,C1;A3;D4,T624,MS_Evans_5,R059,Room 59
M2026004,MS_Student_0004,6,PE6,PE 6,PE6.10,P01,A1;D2;B4,T684,MS_Stone_5,R098,Gymnasium
M2026004,MS_Student_0004,6,SCI6,Science 6,SCI6.8,P07,B2;E4;C5,T637,MS_Hayes_3,R073,Lab 73
M2026004,MS_Student_0004,6,SPAN6,Spanish 6,SPAN6.8,P02,A2;D3;B5,T667,MS_Ortiz_3,R022,Room 22
