teacher_id,name,department,qualified_course_ids,max_load,min_prep_periods,preferred_course_ids,avoid_course_ids,preferred_blocks,avoid_blocks
T600,MS_Allen,english,ENG6|ENG7|ENG8,5,1,,,,
T601,MS_Allen_2,english,ENG6|ENG7|ENG8,5,1,,,,
T602,MS_Allen_3,english,ENG6|ENG7|ENG8,5,1,,,,
T603,MS_Allen_4,english,ENG6|ENG7|ENG8,5,1,,,,
T604,MS_Allen_5,english,ENG6|ENG7|ENG8,5,1,,,,
T605,MS_Brooks,english,ENG6|ENG7|ENG8,5,1,,,,
T606,MS_Brooks_2,english,ENG6|ENG7|ENG8,5,1,,,,
T607,MS_Brooks_3,english,ENG6|ENG7|ENG8,5,1,,,,
T608,MS_Brooks_4,english,ENG6|ENG7|ENG8,5,1,,,,
T609,MS_Brooks_5,english,ENG6|ENG7|ENG8,5,1,,,,
T610,MS_Cole,english,ENG6|ENG7|ENG8,5,1,,,,
T611,MS_Cole_2,english,ENG6|ENG7|ENG8,5,1,,,,
T612,MS_Cole_3,english,ENG6|ENG7|ENG8,5,1,,,,
T613,MS_Cole_4,english,ENG6|ENG7|ENG8,5,1,,,,
T614,MS_Cole_5,english,ENG6|ENG7|ENG8,5,1,,,,
T615,MS_Diaz,math,MATH6|MATH7|MATH8,5,1,,,,
T616,MS_Diaz_2,math,MATH6|MATH7|MATH8,5,1,,,,
T617,MS_Diaz_3,math,MATH6|MATH7|MATH8,5,1,,,,
T618,MS_Diaz_4,math,MATH6|MATH7|MATH8,5,1,,,,
T619,MS_Diaz_5,math,MATH6|MATH7|MATH8,5,1,,,,
T620,MS_Evans,math,MATH6|MATH7|MATH8,5,1,,,,
T621,MS_Evans_2,math,MATH6|MATH7|MATH8,5,1,,,,
T622,MS_Evans_3,math,MATH6|MATH7|MATH8,5,1,,,,
T623,MS_Evans_4,math,MATH6|MATH7|MATH8,5,1,,,,
T624,MS_Evans_5,math,MATH6|MATH7|MATH8,5,1,,,,
T625,MS_Foster,math,MATH6|MATH7|MATH8,5,1,,,,
T626,MS_Foster_2,math,MATH6|MATH7|MATH8,5,1,,,,
T627,MS_Foster_3,math,MATH6|MATH7|MATH8,5,1,,,,
T628,MS_Foster_4,math,MATH6|MATH7|MATH8,5,1,,,,
T629,MS_Foster_5,math,MATH6|MATH7|MATH8,5,1,,,,
T630,MS_Garcia,science,SCI6|SCI7|SCI8,5,1,,,,
T631,MS_Garcia_2,science,SCI6|SCI7|SCI8,5,1,,,,
T632,MS_Garcia_3,science,SCI6|SCI7|SCI8,5,1,,,,
T633,MS_Garcia_4,science,SCI6|SCI7|SCI8,5,1,,,,
T634,MS_Garcia_5,science,SCI6|SCI7|SCI8,5,1,,,,
T635,MS_Hayes,science,SCI6|SCI7|SCI8,5,1,,,,
T636,MS_Hayes_2,science,SCI6|SCI7|SCI8,5,1,,,,
T637,MS_Hayes_3,science,SCI6|SCI7|SCI8,5,1,,,,
T638,MS_Hayes_4,science,SCI6|SCI7|SCI8,5,1,,,,
T639,MS_Hayes_5,science,SCI6|SCI7|SCI8,5,1,,,,
T640,MS_Iqbal,science,SCI6|SCI7|SCI8,5,1,,,,
T641,MS_Iqbal_2,science,SCI6|SCI7|SCI8,5,1,,,,
T642,MS_Iqbal_3,science,SCI6|SCI7|SCI8,5,1,,,,
T643,MS_Iqbal_4,science,SCI6|SCI7|SCI8,5,1,,,,
T644,MS_Iqbal_5,science,SCI6|SCI7|SCI8,5,1,,,,
T645,MS_Kim,social_studies,SS6|SS7|SS8,5,1,,,,
T646,MS_Kim_2,social_studies,SS6|SS7|SS8,5,1,,,,
T647,MS_Kim_3,social_studies,SS6|SS7|SS8,5,1,,,,
T648,MS_Kim_4,social_studies,SS6|SS7|SS8,5,1,,,,
T649,MS_Kim_5,social_studies,SS6|SS7|SS8,5,1,,,,
T650,MS_Lopez,social_studies,SS6|SS7|SS8,5,1,,,,
T651,MS_Lopez_2,social_studies,SS6|SS7|SS8,5,1,,,,
T652,MS_Lopez_3,social_studies,SS6|SS7|SS8,5,1,,,,
T653,MS_Lopez_4,social_studies,SS6|SS7|SS8,5,1,,,,
T654,MS_Lopez_5,social_studies,SS6|SS7|SS8,5,1,,,,
T655,MS_Mehta,social_studies,SS6|SS7|SS8,5,1,,,,
T656,MS_Mehta_2,social_studies,SS6|SS7|SS8,5,1,,,,
T657,MS_Mehta_3,social_studies,SS6|SS7|SS8,5,1,,,,
T658,MS_Mehta_4,social_studies,SS6|SS7|SS8,5,1,,,,
T659,MS_Mehta_5,social_studies,SS6|SS7|SS8,5,1,,,,
T660,MS_Nguyen,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T661,MS_Nguyen_2,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T662,MS_Nguyen_3,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T663,MS_Nguyen_4,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T664,MS_Nguyen_5,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T665,MS_Ortiz,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T666,MS_Ortiz_2,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T667,MS_Ortiz_3,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
