sourcedId,status,dateLastModified,enabledUser,orgSourcedIds,role,username,userIds,givenName,familyName,middleName,identifier,email,sms,phone,agentSourcedIds,grades,password
teacher-T600,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T600,,MS_Allen,,,T600,,,,,,
teacher-T601,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T601,,MS_Allen_2,,,T601,,,,,,
teacher-T602,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T602,,MS_Allen_3,,,T602,,,,,,
teacher-T603,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T603,,MS_Allen_4,,,T603,,,,,,
teacher-T604,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T604,,MS_Allen_5,,,T604,,,,,,
teacher-T605,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T605,,MS_Brooks,,,T605,,,,,,
teacher-T606,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T606,,MS_Brooks_2,,,T606,,,,,,
teacher-T607,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T607,,MS_Brooks_3,,,T607,,,,,,
teacher-T608,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T608,,MS_Brooks_4,,,T608,,,,,,
teacher-T609,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T609,,MS_Brooks_5,,,T609,,,,,,
teacher-T610,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T610,,MS_Cole,,,T610,,,,,,
teacher-T611,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T611,,MS_Cole_2,,,T611,,,,,,
teacher-T612,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T612,,MS_Cole_3,,,T612,,,,,,
teacher-T613,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T613,,MS_Cole_4,,,T613,,,,,,
teacher-T614,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T614,,MS_Cole_5,,,T614,,,,,,
teacher-T615,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T615,,MS_Diaz,,,T615,,,,,,
teacher-T616,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T616,,MS_Diaz_2,,,T616,,,,,,
teacher-T617,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T617,,MS_Diaz_3,,,T617,,,,,,
teacher-T618,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T618,,MS_Diaz_4,,,T618,,,,,,
teacher-T619,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T619,,MS_Diaz_5,,,T619,,,,,,
teacher-T620,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T620,,MS_Evans,,,T620,,,,,,
teacher-T621,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T621,,MS_Evans_2,,,T621,,,,,,
teacher-T622,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T622,,MS_Evans_3,,,T622,,,,,,
teacher-T623,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T623,,MS_Evans_4,,,T623,,,,,,
teacher-T624,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T624,,MS_Evans_5,,,T624,,,,,,
teacher-T625,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T625,,MS_Foster,,,T625,,,,,,
teacher-T626,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T626,,MS_Foster_2,,,T626,,,,,,
teacher-T627,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T627,,MS_Foster_3,,,T627,,,,,,
teacher-T628,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T628,,MS_Foster_4,,,T628,,,,,,
teacher-T629,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T629,,MS_Foster_5,,,T629,,,,,,
teacher-T630,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T630,,MS_Garcia,,,T630,,,,,,
teacher-T631,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T631,,MS_Garcia_2,,,T631,,,,,,
teacher-T632,active,2026-04-26T07:42:10.000Z,true,school-columbus-middle-school,teacher,T632,,MS_Garcia_3,,,T632,,,,,,
