SchoolID,CourseID,CourseName,SectionID,TeacherID,TeacherName,RoomID,RoomName,Period,Slots,TermID,MaxEnrollment
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.1,T600,MS_Allen,R001,Room 1,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.2,T601,MS_Allen_2,R002,Room 2,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.3,T602,MS_Allen_3,R003,Room 3,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.4,T603,MS_Allen_4,R004,Room 4,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.5,T604,MS_Allen_5,R005,Room 5,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.6,T605,MS_Brooks,R006,Room 6,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.7,T606,MS_Brooks_2,R007,Room 7,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.8,T607,MS_Brooks_3,R008,Room 8,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.9,T608,MS_Brooks_4,R009,Room 9,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.10,T609,MS_Brooks_5,R010,Room 10,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.11,T610,MS_Cole,R011,Room 11,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.12,T611,MS_Cole_2,R012,Room 12,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.13,T612,MS_Cole_3,R013,Room 13,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.14,T613,MS_Cole_4,R014,Room 14,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.15,T614,MS_Cole_5,R015,Room 15,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.16,T615,MS_Diaz,R016,Room 16,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.17,T616,MS_Diaz_2,R017,Room 17,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.18,T617,MS_Diaz_3,R018,Room 18,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.19,T618,MS_Diaz_4,R019,Room 19,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.20,T619,MS_Diaz_5,R020,Room 20,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.21,T620,MS_Evans,R021,Room 21,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.22,T621,MS_Evans_2,R022,Room 22,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.23,T622,MS_Evans_3,R023,Room 23,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.24,T623,MS_Evans_4,R024,Room 24,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.25,T624,MS_Evans_5,R025,Room 25,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.26,T625,MS_Foster,R026,Room 26,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.27,T626,MS_Foster_2,R027,Room 27,ADV,E3,2026-2027,22
Columbus Middle School,ADV_MS,MS Advisory,ADV_MS.28,T627,MS_Foster_3,R028,Room 28,ADV,E3,2026-2027,22
Columbus Middle School,ENG6,English 6,ENG6.1,T600,MS_Allen,R070,Room 70,P02,A2;D3;B5,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.2,T601,MS_Allen_2,R060,Room 60,P06,B1;E2;C4,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.3,T602,MS_Allen_3,R058,Room 58,P06,B1;E2;C4,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.4,T603,MS_Allen_4,R056,Room 56,P01,A1;D2;B4,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.5,T604,MS_Allen_5,R068,Room 68,P08,D1;B3;E5,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.6,T605,MS_Brooks,R055,Room 55,P06,B1;E2;C4,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.7,T606,MS_Brooks_2,R052,Room 52,P08,D1;B3;E5,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.8,T607,MS_Brooks_3,R050,Room 50,P08,D1;B3;E5,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.9,T608,MS_Brooks_4,R048,Room 48,P07,B2;E4;C5,2026-2027,24
Columbus Middle School,ENG6,English 6,ENG6.10,T609,MS_Brooks_5,R061,Room 61,P08,D1;B3;E5,2026-2027,24
Columbus Middle School,MATH6,Math 6,MATH6.1,T615,MS_Diaz,R046,Room 46,P03,C1;A3;D4,2026-2027,24
Columbus Middle School,MATH6,Math 6,MATH6.2,T616,MS_Diaz_2,R038,Room 38,P07,B2;E4;C5,2026-2027,24
Columbus Middle School,MATH6,Math 6,MATH6.3,T617,MS_Diaz_3,R051,Room 51,P04,C2;A4;D5,2026-2027,24
